site,date,time,datetime,water_temp_C,air_temp_C,fecal_coliform_cfu_100mL,enterococcus_mpn_100mL,pH,turbidity_NTU,conductivity_mS_cm,wind_velocity_kph,tide_range_m,weather_code_wmo4501,wind_direction_deg
South Kenai River Beach 3,2012-07-10,06:45:00,2012-07-10T06:45:00Z,10.29,6.666666666666666,88,74,7.83,585,8852,NA,NA,NA,NA
South Kenai River Beach 3,2012-07-18,12:30:00,2012-07-18T12:30:00Z,10.26,19.444444444444443,92,30,7.55,222,640.1,NA,NA,NA,NA
South Kenai River Beach 3,2012-07-18,12:30:00,2012-07-18T12:30:00Z,10.26,19.444444444444443,170,30,7.55,222,640.1,NA,NA,NA,NA
South Kenai River Beach 3,2012-07-25,05:35:00,2012-07-25T05:35:00Z,10.02,7.777777777777778,31,20,7.82,198.7,1519,NA,NA,NA,NA
South Kenai River Beach 3,2012-08-01,01:07:00,2012-08-01T13:07:00Z,10.68,15,120,52,7.5,100.9,397.1,NA,NA,NA,NA
South Kenai River Beach 3,2012-08-01,01:07:00,2012-08-01T13:07:00Z,10.68,15,140,86,7.5,100.9,397.1,NA,NA,NA,NA
South Kenai River Beach 3,2012-08-05,05:03:00,2012-08-05T05:03:00Z,NA,NA,100,130,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2012-08-12,09:55:00,2012-08-12T09:55:00Z,NA,NA,180,41,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2013-06-19,09:47:00,2013-06-19T09:47:00Z,13.9,15,17,30,7.45,124.6,1100,NA,NA,NA,NA
South Kenai River Beach 3,2013-06-19,09:47:00,2013-06-19T09:47:00Z,13.9,15,37,30,7.45,124.6,1100,NA,NA,NA,NA
South Kenai River Beach 3,2013-06-23,08:23:00,2013-06-23T08:23:00Z,9.2,12,26,31,8.1,127.2,15915,NA,NA,NA,NA
South Kenai River Beach 3,2013-06-23,08:25:00,2013-06-23T08:25:00Z,NA,NA,51,31,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2013-06-25,09:24:00,2013-06-25T09:24:00Z,11.3,12.5,670,97,8.25,440,22116,NA,NA,NA,NA
South Kenai River Beach 3,2013-07-09,04:18:00,2013-07-09T04:18:00Z,NA,NA,77,160,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2013-07-09,09:24:00,2013-07-09T09:24:00Z,11.4,9,NA,NA,8.11,945,34863,NA,NA,NA,NA
South Kenai River Beach 3,2013-07-10,09:45:00,2013-07-10T09:45:00Z,10,14.5,100,110,8.1,272.4,8848,NA,NA,NA,NA
South Kenai River Beach 3,2013-07-14,06:03:00,2013-07-14T06:03:00Z,12.2,11,150,200,8.05,2735,21940,NA,NA,NA,NA
South Kenai River Beach 3,2013-07-14,06:03:00,2013-07-14T06:03:00Z,12.2,11,180,190,8.05,2735,21940,NA,NA,NA,NA
South Kenai River Beach 3,2013-07-16,09:03:00,2013-07-16T09:03:00Z,12.8,NA,57,52,8.05,248.7,30996,NA,NA,NA,NA
South Kenai River Beach 3,2013-07-24,07:16:00,2013-07-24T07:16:00Z,14.1,13,74,41,8.15,98.9,35374,NA,NA,NA,NA
South Kenai River Beach 3,2013-07-28,07:40:00,2013-07-28T07:40:00Z,14.2,13,23,62,8.13,428,35008,NA,NA,NA,NA
South Kenai River Beach 3,2013-07-28,07:40:00,2013-07-28T07:40:00Z,14.2,13,20,10,8.13,428,35008,NA,NA,NA,NA
South Kenai River Beach 3,2013-07-31,10:00:00,2013-07-31T10:00:00Z,13.9,17.5,57,52,8.07,56.6,609.5,NA,NA,NA,NA
South Kenai River Beach 3,2013-08-06,10:35:00,2013-08-06T10:35:00Z,12.8,15,120,41,8.02,131.7,389.8,NA,NA,NA,NA
South Kenai River Beach 3,2013-08-11,05:02:00,2013-08-11T05:02:00Z,12.4,8,100,330,7.84,265.2,34396,NA,NA,NA,NA
South Kenai River Beach 3,2013-08-11,05:02:00,2013-08-11T05:02:00Z,12.4,8,96,350,7.84,265.2,34396,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-07,09:20:00,2014-07-07T09:20:00Z,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-07,09:33:00,2014-07-07T09:33:00Z,13.51,NA,NA,NA,NA,51.3,2749,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-07,09:36:00,2014-07-07T09:36:00Z,NA,NA,150,84,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-13,07:11:00,2014-07-13T07:11:00Z,13.1,NA,NA,NA,NA,228.3,36807,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-13,07:12:00,2014-07-13T07:12:00Z,NA,NA,43,52,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-17,10:53:00,2014-07-17T10:53:00Z,13.63,NA,NA,NA,NA,235.3,22425,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-17,10:54:00,2014-07-17T10:54:00Z,NA,NA,92,31,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-17,10:56:00,2014-07-17T10:56:00Z,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-20,11:48:00,2014-07-20T11:48:00Z,14.68,NA,NA,NA,NA,602,36675,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-20,11:49:00,2014-07-20T11:49:00Z,NA,NA,31,20,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-20,11:49:00,2014-07-20T11:49:00Z,NA,NA,11,31,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-20,11:52:00,2014-07-20T11:52:00Z,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-23,05:05:00,2014-07-23T05:05:00Z,13.1,NA,NA,NA,NA,51.5,19674,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-23,05:07:00,2014-07-23T05:07:00Z,NA,NA,160,98,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-23,05:09:00,2014-07-23T05:09:00Z,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-27,07:31:00,2014-07-27T07:31:00Z,13.32,NA,NA,NA,NA,145.5,17159,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-27,07:32:00,2014-07-27T07:32:00Z,NA,NA,220,41,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-27,07:35:00,2014-07-27T07:35:00Z,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-29,08:03:00,2014-07-29T08:03:00Z,13.96,NA,NA,NA,NA,114,32279,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-29,08:05:00,2014-07-29T08:05:00Z,NA,NA,43,41,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-29,08:05:00,2014-07-29T08:05:00Z,NA,NA,46,52,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-07-29,08:07:00,2014-07-29T08:07:00Z,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-08-04,10:02:00,2014-08-04T10:02:00Z,NA,NA,14,10,NA,92.7,NA,NA,NA,NA,NA
South Kenai River Beach 3,2014-08-04,10:05:00,2014-08-04T10:05:00Z,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-03,07:45:00,2018-07-03T07:45:00Z,11.7,12.222222222222221,100,15,NA,NA,NA,0,5.486400000000001,0,NA
South Kenai River Beach 3,2018-07-03,07:45:00,2018-07-03T07:45:00Z,11.7,12.222222222222221,200,15,NA,NA,NA,0,5.486400000000001,0,NA
South Kenai River Beach 3,2018-07-13,07:00:00,2018-07-13T07:00:00Z,12,9.444444444444445,1010,1990,NA,NA,NA,8.04672,4.572,1,NA
South Kenai River Beach 3,2018-07-18,08:45:00,2018-07-18T08:45:00Z,12.8,8.88888888888889,10,67,NA,NA,NA,4.828032,6.096,0,NA
South Kenai River Beach 3,2018-07-18,08:45:00,2018-07-18T08:45:00Z,12.8,8.88888888888889,18,8,NA,NA,NA,4.828032,6.096,0,NA
South Kenai River Beach 3,2018-07-25,09:00:00,2018-07-25T09:00:00Z,NA,NA,200,150,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-25,10:00:00,2018-07-25T10:00:00Z,NA,NA,250,236,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-25,11:00:00,2018-07-25T11:00:00Z,NA,NA,280,167,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-25,12:00:00,2018-07-25T12:00:00Z,NA,NA,179,113,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-25,01:00:00,2018-07-25T13:00:00Z,NA,NA,44,16,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-25,02:00:00,2018-07-25T14:00:00Z,NA,NA,350,93,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-25,02:00:00,2018-07-25T14:00:00Z,NA,NA,230,201,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-25,03:00:00,2018-07-25T15:00:00Z,14.2,NA,108,157,NA,NA,NA,24.14016,4.2672,6,NA
South Kenai River Beach 3,2018-07-25,04:00:00,2018-07-25T16:00:00Z,NA,NA,30,26,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-25,05:00:00,2018-07-25T17:00:00Z,14.2,NA,44,56,NA,NA,NA,11.265408,5.486400000000001,2,NA
South Kenai River Beach 3,2018-07-25,06:00:00,2018-07-25T18:00:00Z,13.9,NA,37,78,NA,NA,NA,11.265408,4.4196,2,NA
South Kenai River Beach 3,2018-07-25,07:00:00,2018-07-25T19:00:00Z,14.1,NA,86,110,NA,NA,NA,11.265408,3.3528000000000002,NA,NA
South Kenai River Beach 3,2018-07-25,08:00:00,2018-07-25T20:00:00Z,13.8,NA,250,201,NA,NA,NA,8.04672,2.4384,2,NA
South Kenai River Beach 3,2018-07-25,09:00:00,2018-07-25T21:00:00Z,13.8,NA,470,435,NA,NA,NA,8.04672,1.524,2,NA
South Kenai River Beach 3,2018-07-25,09:00:00,2018-07-25T21:00:00Z,13.8,NA,660,345,NA,NA,NA,8.04672,1.524,2,NA
South Kenai River Beach 3,2018-07-25,10:00:00,2018-07-25T22:00:00Z,13.3,NA,680,770,NA,NA,NA,8.04672,2.1336,2,NA
South Kenai River Beach 3,2018-07-25,11:00:00,2018-07-25T23:00:00Z,13.3,NA,290,133,NA,NA,NA,4.828032,5.486400000000001,2,NA
South Kenai River Beach 3,2018-07-26,12:00:00,2018-07-26T00:00:00Z,13.4,13.333333333333332,380,228,NA,NA,NA,3.218688,3.5052000000000003,2,NA
South Kenai River Beach 3,2018-07-26,01:00:00,2018-07-26T01:00:00Z,13.1,13.333333333333332,270,326,NA,NA,NA,4.828032,4.2672,2,NA
South Kenai River Beach 3,2018-07-26,02:00:00,2018-07-26T02:00:00Z,NA,NA,22,35,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,03:00:00,2018-07-26T03:00:00Z,NA,NA,23,24,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,04:00:00,2018-07-26T04:00:00Z,NA,NA,158,308,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,05:00:00,2018-07-26T05:00:00Z,NA,NA,300,167,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,05:00:00,2018-07-26T05:00:00Z,NA,NA,202,148,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,06:00:00,2018-07-26T06:00:00Z,NA,NA,330,276,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,07:00:00,2018-07-26T07:00:00Z,NA,NA,320,344,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,08:00:00,2018-07-26T08:00:00Z,NA,NA,310,248,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-08-02,07:45:00,2018-08-02T07:45:00Z,13.7,11.666666666666666,32,82,NA,NA,NA,4.828032,5.3340000000000005,6,NA
South Kenai River Beach 3,2018-08-02,07:45:00,2018-08-02T07:45:00Z,13.7,11.666666666666666,22,130,NA,NA,NA,4.828032,5.3340000000000005,6,NA
South Kenai River Beach 3,2018-08-10,05:22:00,2018-08-10T05:22:00Z,13.6,6.111111111111111,820,816,NA,NA,NA,0,6.096,0,NA
South Kenai River Beach 3,2018-08-15,08:10:00,2018-08-15T08:10:00Z,12.2,6.666666666666666,12,39,NA,NA,NA,1.609344,6.4008,0,NA
South Kenai River Beach 3,2018-08-15,08:10:00,2018-08-15T08:10:00Z,12.2,6.666666666666666,32,55,NA,NA,NA,1.609344,6.4008,0,NA
South Kenai River Beach 3,2018-08-24,08:30:00,2018-08-24T08:30:00Z,11,12.777777777777777,280,173,NA,NA,NA,8.04672,1.8288000000000002,0,NA
South Kenai River Beach 3,2018-08-29,08:45:00,2018-08-29T08:45:00Z,11.6,3.888888888888889,37,81,NA,NA,NA,4.828032,4.2672,0,NA
South Kenai River Beach 3,2018-08-29,08:45:00,2018-08-29T08:45:00Z,11.6,3.888888888888889,48,84,NA,NA,NA,4.828032,4.2672,0,NA
South Kenai River Beach 3,2018-09-07,07:10:00,2018-09-07T07:10:00Z,12,11.11111111111111,52,41,NA,NA,NA,4.828032,2.1336,1,NA
South Kenai River Beach 3,2018-09-07,07:10:00,2018-09-07T07:10:00Z,12,11.11111111111111,58,45,NA,NA,NA,4.828032,2.1336,1,NA
South Kenai River Beach 3,2019-05-21,07:28:00,2019-05-21T07:28:00Z,8.3,7.222222222222222,5,4,NA,NA,NA,22.530816,5.638800000000001,1,225
South Kenai River Beach 3,2019-05-21,07:28:00,2019-05-21T07:28:00Z,8.3,7.222222222222222,8,5,NA,NA,NA,22.530816,5.638800000000001,1,225
South Kenai River Beach 3,2019-05-29,05:38:00,2019-05-29T05:38:00Z,9.2,7.222222222222222,25,6,NA,NA,NA,4.828032,2.923032,1,45
South Kenai River Beach 3,2019-06-04,07:12:00,2019-06-04T07:12:00Z,10.3,9.444444444444445,6,10,NA,NA,NA,14.484096000000001,5.315712,1,180
South Kenai River Beach 3,2019-06-04,07:12:00,2019-06-04T07:12:00Z,10.3,9.444444444444445,9,2,NA,NA,NA,14.484096000000001,5.315712,1,180
South Kenai River Beach 3,2019-06-11,10:46:00,2019-06-11T10:46:00Z,13.1,15,5,7,NA,NA,NA,17.702784,NA,0,135
South Kenai River Beach 3,2019-06-11,10:46:00,2019-06-11T10:46:00Z,13.1,15,5,7,NA,NA,NA,4.858512,NA,0,135
South Kenai River Beach 3,2019-06-18,08:40:00,2019-06-18T08:40:00Z,11.6,11.666666666666666,76,36,NA,NA,NA,22.530816,5.2486559999999995,1,180
South Kenai River Beach 3,2019-06-18,08:40:00,2019-06-18T08:40:00Z,11.6,11.666666666666666,84,50,NA,NA,NA,22.530816,5.2486559999999995,1,180
South Kenai River Beach 3,2019-06-25,09:05:00,2019-06-25T09:05:00Z,14.8,10.555555555555555,26,71,NA,NA,NA,19.312128,3.462528,4,135
South Kenai River Beach 3,2019-07-02,05:43:00,2019-07-02T05:43:00Z,NA,11.11111111111111,NA,NA,NA,NA,NA,4.828032,4.788408,1,45
South Kenai River Beach 3,2019-07-02,05:45:00,2019-07-02T05:45:00Z,15,NA,93,411,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2019-07-02,05:45:00,2019-07-02T05:45:00Z,15,NA,141,231,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2019-07-09,08:45:00,2019-07-09T08:45:00Z,16.1,16.11111111111111,90,23,NA,NA,NA,11.265408,5.556504,1,225
South Kenai River Beach 3,2019-07-17,07:45:00,2019-07-17T07:45:00Z,13.9,11.11111111111111,400,387,NA,NA,NA,4.828032,4.968240000000001,0,225
South Kenai River Beach 3,2019-07-17,07:45:00,2019-07-17T07:45:00Z,13.9,11.11111111111111,380,727,NA,NA,NA,4.828032,4.968240000000001,0,225
South Kenai River Beach 3,2019-07-23,10:10:00,2019-07-23T10:10:00Z,15.7,14.444444444444445,80,23,NA,NA,NA,19.312128,4.25196,0,225
South Kenai River Beach 3,2019-08-01,08:17:00,2019-08-01T08:17:00Z,14.6,12.222222222222221,382,243,NA,NA,NA,9.656064,5.614416000000001,1,135
South Kenai River Beach 3,2019-08-01,08:17:00,2019-08-01T08:17:00Z,14.6,12.222222222222221,324,249,NA,NA,NA,9.656064,5.614416000000001,1,135
South Kenai River Beach 3,2019-08-06,09:10:00,2019-08-06T09:10:00Z,16.1,18.333333333333332,7,155,NA,NA,NA,16.09344,6.702552,0,180
South Kenai River Beach 3,2019-08-20,08:13:00,2019-08-20T08:13:00Z,14.1,6.111111111111111,60,152,NA,NA,NA,0,5.443728,4,270
South Kenai River Beach 3,2019-08-20,08:13:00,2019-08-20T08:13:00Z,14.1,6.111111111111111,76,285,NA,NA,NA,0,5.443728,4,270
South Kenai River Beach 3,2019-09-04,08:49:00,2019-09-04T08:49:00Z,13.1,11.666666666666666,4,28,NA,NA,NA,11.265408,7.296912000000001,4,180
South Kenai River Beach 3,2014-07-13,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
