"site","date","time","datetime","water_temp_C","air_temp_C","fecal_coliform_cfu_100mL","enterococcus_mpn_100mL","pH","turbidity_NTU","conductivity_mS_cm","wind_velocity_kph","tide_range_m","weather_code_wmo4501","wind_direction_deg"
"Kenai River Gull Rookery 1",2019-05-21,07:35:00,2019-05-21 07:35:00,8.4,7.22222222222222,5,1,NA,NA,NA,17.702784,5.6388,1,0
"Kenai River Gull Rookery 1",2019-05-29,04:49:00,2019-05-29 04:49:00,NA,6.66666666666667,NA,NA,NA,NA,NA,4.828032,2.923032,1,0
"Kenai River Gull Rookery 1",2019-05-29,04:59:00,2019-05-29 04:59:00,9,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"Kenai River Gull Rookery 1",2019-06-04,06:57:00,2019-06-04 06:57:00,9.3,10.5555555555556,8,6,NA,NA,NA,4.828032,5.315712,1,270
"Kenai River Gull Rookery 1",2019-06-11,10:51:00,2019-06-11 10:51:00,11,15,46,20,NA,NA,NA,17.702784,4.858512,0,270
"Kenai River Gull Rookery 1",2019-06-18,07:43:00,2019-06-18 07:43:00,11.5,NA,25,23,NA,NA,NA,NA,NA,NA,NA
"Kenai River Gull Rookery 1",2019-06-18,07:45:00,2019-06-18 07:45:00,NA,11.1111111111111,NA,NA,NA,NA,NA,22.530816,5.248656,1,270
"Kenai River Gull Rookery 1",2019-06-25,09:10:00,2019-06-25 09:10:00,13.7,15.4,7,NA,NA,NA,NA,16.09344,3.462528,1,NA
"Kenai River Gull Rookery 1",2019-07-02,05:55:00,2019-07-02 05:55:00,14.7,10.5555555555556,49,34,NA,NA,NA,0,4.788408,1,NA
"Kenai River Gull Rookery 1",2019-07-09,09:11:00,2019-07-09 09:11:00,17.8,16.6666666666667,49,13,NA,NA,NA,12.874752,5.556504,4,270
"Kenai River Gull Rookery 1",2019-07-17,07:50:00,2019-07-17 07:50:00,13.1,12.2222222222222,16,1,NA,NA,NA,8.04672,4.96824,1,90
"Kenai River Gull Rookery 1",2019-07-23,10:20:00,2019-07-23 10:20:00,15,16.1111111111111,4.5,2,NA,NA,NA,24.14016,4.25196,1,270
"Kenai River Gull Rookery 1",2019-08-01,08:25:00,2019-08-01 08:25:00,NA,12.7777777777778,4,5,NA,NA,NA,11.265408,5.614416,1,270
"Kenai River Gull Rookery 1",2019-08-06,09:10:00,2019-08-06 09:10:00,15.9,18.3333333333333,65,10,NA,NA,NA,19.312128,6.702552,0,180
"Kenai River Gull Rookery 1",2019-08-20,08:55:00,2019-08-20 08:55:00,9.8,NA,12,6,NA,NA,NA,4.828032,5.443728,4,NA
"Kenai River Gull Rookery 1",2019-09-04,09:14:00,2019-09-04 09:14:00,13.5,14,225,73,NA,NA,NA,8.04672,7.296912,1,NA
"North Kenai Beach site 2",2012-07-09,04:30:00,2012-07-09 16:30:00,10.76,11,14,10,NA,NA,280.5,NA,NA,NA,NA
"North Kenai Beach site 2",2012-07-15,12:30:00,2012-07-15 12:30:00,11.02,12.2222222222222,37,41,7.73,150.4,13223,NA,NA,NA,NA
"North Kenai Beach site 2",2012-07-15,12:30:00,2012-07-15 12:30:00,11.02,12.2222222222222,8.6,41,7.73,150.4,13223,NA,NA,NA,NA
"North Kenai Beach site 2",2012-07-18,01:15:00,2012-07-18 13:15:00,11.11,20,46,NA,7.75,138,811.7,NA,NA,NA,NA
"North Kenai Beach site 2",2012-07-22,04:30:00,2012-07-22 04:30:00,12.13,12.7777777777778,8.6,41,7.97,113.5,37096,NA,NA,NA,NA
"North Kenai Beach site 2",2012-07-29,11:35:00,2012-07-29 11:35:00,14.64,16.6666666666667,14,10,8.07,95.5,12039,NA,NA,NA,NA
"North Kenai Beach site 2",2012-08-07,05:50:00,2012-08-07 05:50:00,11.89,8.88888888888889,2.9,NA,7.96,189.2,35668,NA,NA,NA,NA
"North Kenai Beach site 2",2013-06-19,10:36:00,2013-06-19 10:36:00,15.1,15,43,NA,8.05,328.2,3141,NA,NA,NA,NA
"North Kenai Beach site 2",2013-06-23,09:14:00,2013-06-23 09:14:00,8.4,14.5,NA,NA,8,142.9,4424,NA,NA,NA,NA
"North Kenai Beach site 2",2013-06-25,10:10:00,2013-06-25 10:10:00,11.2,17,11,NA,8.03,82.5,14770,NA,NA,NA,NA
"North Kenai Beach site 2",2013-06-25,10:11:00,2013-06-25 10:11:00,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2013-06-30,08:09:00,2013-06-30 08:09:00,11.2,12,40,41,8.01,719,28989,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-07,10:15:00,2013-07-07 10:15:00,9.3,11.1111111111111,31,10,7.88,76.5,3015,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-09,04:48:00,2013-07-09 04:48:00,NA,NA,8.6,10,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-09,04:49:00,2013-07-09 04:49:00,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-09,10:10:00,2013-07-09 10:10:00,11.3,9,NA,NA,8.13,311,36400,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-14,07:03:00,2013-07-14 07:03:00,12.8,12,29,51,NA,NA,34169,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-16,10:15:00,2013-07-16 10:15:00,13,NA,2.9,NA,8.08,38.3,36830,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-16,10:15:00,2013-07-16 10:15:00,13,NA,5.7,NA,8.08,38.3,36830,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-21,04:45:00,2013-07-21 04:45:00,13.5,8.88888888888889,660,4400,8.01,114.9,10392,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-28,08:55:00,2013-07-28 08:55:00,14.7,17.6,NA,NA,8.2,65,35901,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-31,11:27:00,2013-07-31 11:27:00,14.8,NA,14,NA,7.98,55.1,4157,NA,NA,NA,NA
"North Kenai Beach site 2",2013-07-31,11:27:00,2013-07-31 11:27:00,14.8,NA,8.6,NA,7.98,55.1,4157,NA,NA,NA,NA
"North Kenai Beach site 2",2013-08-04,11:05:00,2013-08-04 11:05:00,13.3,14,63,31,8.02,143.7,343,NA,NA,NA,NA
"North Kenai Beach site 2",2013-08-11,05:44:00,2013-08-11 05:44:00,12.7,9,2.9,NA,8.2,55,38085,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-07,09:13:00,2014-07-07 09:13:00,13.36,NA,NA,NA,NA,59.8,1150,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-07,09:15:00,2014-07-07 09:15:00,NA,NA,80,52,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-07,09:20:00,2014-07-07 09:20:00,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-09,03:31:00,2014-07-09 03:31:00,13.37,NA,NA,NA,NA,47,15773,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-09,03:35:00,2014-07-09 03:35:00,NA,NA,120,160,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-09,03:46:00,2014-07-09 03:46:00,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-13,04:49:00,2014-07-13 04:49:00,13.11,NA,NA,NA,NA,120.4,36745,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-13,04:50:00,2014-07-13 04:50:00,NA,NA,29,20,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-13,04:50:00,2014-07-13 04:50:00,NA,NA,17,20,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-13,05:03:00,2014-07-13 05:03:00,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-20,10:54:00,2014-07-20 10:54:00,14.11,NA,NA,NA,NA,94.8,39129,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-20,10:56:00,2014-07-20 10:56:00,NA,NA,2.9,41,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-20,11:14:00,2014-07-20 11:14:00,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-23,04:25:00,2014-07-23 04:25:00,12.84,NA,NA,NA,NA,39.5,11607,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-23,04:27:00,2014-07-23 04:27:00,NA,NA,96,120,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-23,04:37:00,2014-07-23 04:37:00,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-23,01:53:00,2014-07-23 13:53:00,14.44,NA,NA,NA,NA,94,32863,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-23,01:55:00,2014-07-23 13:55:00,NA,NA,34,10,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-29,07:17:00,2014-07-29 07:17:00,13.86,NA,NA,NA,NA,54.3,32081,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-29,07:30:00,2014-07-29 07:30:00,NA,NA,31,52,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-07-29,07:38:00,2014-07-29 07:38:00,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-08-04,09:07:00,2014-08-04 09:07:00,14.63,NA,NA,NA,NA,31.2,31100,NA,NA,NA,NA
"North Kenai Beach site 2",2014-08-04,09:08:00,2014-08-04 09:08:00,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-08-04,09:08:00,2014-08-04 09:08:00,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-08-04,09:10:00,2014-08-04 09:10:00,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2014-08-06,11:25:00,2014-08-06 11:25:00,15,NA,NA,NA,NA,540.8,29087,NA,NA,NA,NA
"North Kenai Beach site 2",2014-08-06,11:27:00,2014-08-06 11:27:00,NA,NA,37,41,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2018-06-14,08:48:00,2018-06-14 08:48:00,11.8,11.1111111111111,420,1100,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2018-06-14,08:48:00,2018-06-14 08:48:00,11.8,11.1111111111111,310,640,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 2",2018-06-29,09:28:00,2018-06-29 09:28:00,10.2,11.1111111111111,18,6,NA,NA,NA,6.437376,2.7432,2,NA
"North Kenai Beach site 2",2018-06-29,09:28:00,2018-06-29 09:28:00,10.2,11.1111111111111,8,4,NA,NA,NA,6.437376,2.7432,2,NA
"North Kenai Beach site 4",2012-06-25,06:30:00,2012-06-25 06:30:00,10.7,11.1111111111111,160,120,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2012-06-27,08:09:00,2012-06-27 08:09:00,10.6,8.88888888888889,11,10,7.73,67,6238,NA,NA,NA,NA
"North Kenai Beach site 4",2012-06-27,08:09:00,2012-06-27 08:09:00,10.6,8.88888888888889,5.7,20,7.73,67,6238,NA,NA,NA,NA
"North Kenai Beach site 4",2012-07-09,04:35:00,2012-07-09 16:35:00,10.78,11,8.6,10,7.63,58.2,474.8,NA,NA,NA,NA
"North Kenai Beach site 4",2012-07-09,04:35:00,2012-07-09 16:35:00,10.78,11,17,10,7.63,58.2,474.8,NA,NA,NA,NA
"North Kenai Beach site 4",2012-07-10,07:25:00,2012-07-10 07:25:00,10.7,10.5555555555556,8.6,10,7.42,157.8,26000,NA,NA,NA,NA
"North Kenai Beach site 4",2012-07-15,12:15:00,2012-07-15 12:15:00,9.54,12.2222222222222,2.9,52,7.54,61.8,1130,NA,NA,NA,NA
"North Kenai Beach site 4",2012-07-22,04:25:00,2012-07-22 04:25:00,12.1,12.7777777777778,11,NA,7.93,1105,36513,NA,NA,NA,NA
"North Kenai Beach site 4",2012-07-22,04:25:00,2012-07-22 04:25:00,12.1,12.7777777777778,8.6,NA,7.93,1105,36513,NA,NA,NA,NA
"North Kenai Beach site 4",2012-07-25,06:10:00,2012-07-25 06:10:00,9.36,8.88888888888889,8.6,41,7.8,271.1,6400,NA,NA,NA,NA
"North Kenai Beach site 4",2012-07-29,11:27:00,2012-07-29 11:27:00,16.65,16.6666666666667,2.9,20,8.07,118.2,8147,NA,NA,NA,NA
"North Kenai Beach site 4",2012-08-01,01:37:00,2012-08-01 13:37:00,12.99,16.6666666666667,60,3800,7.84,525.9,4847,NA,NA,NA,NA
"North Kenai Beach site 4",2012-08-05,05:38:00,2012-08-05 05:38:00,12.03,9.44444444444444,2.9,NA,7.99,100.5,38439,NA,NA,NA,NA
"North Kenai Beach site 4",2012-08-07,05:35:00,2012-08-07 05:35:00,11.67,8.88888888888889,2.9,NA,7.65,350.6,31363,NA,NA,NA,NA
"North Kenai Beach site 4",2012-08-12,10:30:00,2012-08-12 10:30:00,12.26,15,12,20,8.04,NA,675.9,NA,NA,NA,NA
"North Kenai Beach site 4",2013-06-19,10:26:00,2013-06-19 10:26:00,14.3,15,8.6,20,7.5,163,1047,NA,NA,NA,NA
"North Kenai Beach site 4",2013-06-23,09:02:00,2013-06-23 09:02:00,8.5,14.5,11,NA,8.12,58.3,6587,NA,NA,NA,NA
"North Kenai Beach site 4",2013-06-30,08:01:00,2013-06-30 08:01:00,10.7,12,330,31,7.91,266.4,5930,NA,NA,NA,NA
"North Kenai Beach site 4",2013-07-07,10:05:00,2013-07-07 10:05:00,9.3,11.1111111111111,23,41,7.88,66.8,2567,NA,NA,NA,NA
"North Kenai Beach site 4",2013-07-10,11:45:00,2013-07-10 11:45:00,10.1,15,23,20,7.67,116,2059,NA,NA,NA,NA
"North Kenai Beach site 4",2013-07-10,11:46:00,2013-07-10 11:46:00,NA,NA,31,10,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2013-07-14,06:57:00,2013-07-14 06:57:00,12.8,12,17,31,8.15,631,34330,NA,NA,NA,NA
"North Kenai Beach site 4",2013-07-21,04:30:00,2013-07-21 04:30:00,13.4,8.88888888888889,500,4100,8.03,134.9,4516,NA,NA,NA,NA
"North Kenai Beach site 4",2013-07-24,08:10:00,2013-07-24 08:10:00,13.7,14,110,130,8.15,57.2,23786,NA,NA,NA,NA
"North Kenai Beach site 4",2013-07-24,08:11:00,2013-07-24 08:11:00,NA,NA,160,160,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2013-07-28,08:40:00,2013-07-28 08:40:00,14.7,17.6,11,31,8.18,62.8,36065,NA,NA,NA,NA
"North Kenai Beach site 4",2013-08-04,10:55:00,2013-08-04 10:55:00,13.5,14,54,75,8.06,72.1,821.6,NA,NA,NA,NA
"North Kenai Beach site 4",2013-08-06,11:10:00,2013-08-06 11:10:00,13,NA,54,75,8.06,87.4,1406,NA,NA,NA,NA
"North Kenai Beach site 4",2013-08-06,11:10:00,2013-08-06 11:10:00,13,NA,60,10,8.06,87.4,1406,NA,NA,NA,NA
"North Kenai Beach site 4",2013-08-11,05:37:00,2013-08-11 05:37:00,12.7,9,8.6,20,8.18,77.9,38143,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-07,10:37:00,2014-07-07 10:37:00,13.51,NA,NA,NA,NA,66.5,10299,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-07,10:40:00,2014-07-07 10:40:00,NA,NA,57,20,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-07,10:40:00,2014-07-07 10:40:00,NA,NA,46,20,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-07,10:43:00,2014-07-07 10:43:00,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-09,03:40:00,2014-07-09 03:40:00,13.3,NA,NA,NA,NA,40.4,10075,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-09,03:43:00,2014-07-09 03:43:00,NA,NA,92,140,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-09,03:46:00,2014-07-09 03:46:00,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-17,09:07:00,2014-07-17 09:07:00,NA,NA,2.9,41,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-17,09:10:00,2014-07-17 09:10:00,13.66,NA,NA,NA,NA,197.3,31972,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-17,09:25:00,2014-07-17 09:25:00,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-20,11:06:00,2014-07-20 11:06:00,14.26,NA,NA,NA,NA,107.4,37355,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-20,11:07:00,2014-07-20 11:07:00,NA,NA,17,20,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-20,11:14:00,2014-07-20 11:14:00,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-23,02:04:00,2014-07-23 14:04:00,14.48,NA,NA,NA,NA,118.2,33054,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-23,02:05:00,2014-07-23 14:05:00,NA,NA,84,20,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-27,06:37:00,2014-07-27 06:37:00,13.24,NA,NA,NA,NA,66.2,20712,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-27,06:38:00,2014-07-27 06:38:00,NA,NA,270,540,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-27,06:38:00,2014-07-27 06:38:00,NA,NA,220,430,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-27,06:44:00,2014-07-27 06:44:00,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-29,07:24:00,2014-07-29 07:24:00,13.69,NA,NA,NA,NA,82.3,32265,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-29,07:27:00,2014-07-29 07:27:00,NA,NA,100,150,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-07-29,07:38:00,2014-07-29 07:38:00,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Kenai Beach site 4",2014-08-06,11:31:00,2014-08-06 11:31:00,14.99,NA,NA,NA,NA,379.9,30631,NA,NA,NA,NA
"North Kenai Beach site 4",2014-08-06,11:33:00,2014-08-06 11:33:00,NA,NA,17,10,NA,NA,NA,NA,NA,NA,NA
